Country_Name,Regional_Indicator,Continent,Year,Log_GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy_At_Birth,Freedom_To_Make_Life_Choices,Perceptions_Of_Corruption,Life_Ladder,Generosity
Mauritania,Sub-Saharan Africa,Africa,2022,8.590913773,0.647975624,60.47499847,0.624028981,0.65709281,4.723868847,-0.012799613
Mauritius,Sub-Saharan Africa,Africa,2022,10.00689125,0.887036204,63.82500076,0.798143804,0.768953621,5.740500927,-0.037532523
Mexico,Latin America and Caribbean,South America,2022,9.876176834,0.858360887,65.80000305,0.860889137,0.780077338,7.038368702,-0.120741829
Moldova,Commonwealth of Independent States,Europe,2022,9.540007591,0.816732645,65.69999695,0.828515828,0.884788811,5.686611652,-0.087219432
Mongolia,East Asia,Asia,2022,9.388139725,0.951336026,60.59999847,0.717059672,0.846957803,5.787830353,0.213851795
Morocco,Middle East and North Africa,Africa,2022,8.995898247,0.563577652,64,0.794705212,0.802137673,4.596093178,-0.25410822
Mozambique,Sub-Saharan Africa,Africa,2022,7.120275497,0.710699916,51.75,0.884088099,0.687821686,4.739677429,0.047219496
Namibia,Sub-Saharan Africa,Africa,2022,9.131615639,0.807958961,57.22499847,0.6825279,0.848729193,4.948962688,-0.119649537
Nepal,South Asia,Asia,2022,8.28515625,0.753276348,62.125,0.844221771,0.760407746,5.47417593,0.153193608
Netherlands,Western Europe,Europe,2022,10.980937,0.928908408,71.625,0.868093491,0.459351808,7.38963604,0.224343896
New Zealand,North America and ANZ,Oceania,2022,10.68169308,0.955588818,70.42500305,0.830677867,0.280524433,6.974986553,0.1867235
Nicaragua,Latin America and Caribbean,North America,2022,8.664050102,0.844041824,65.72499847,0.913993657,0.570191979,6.39225769,-0.001197587
Niger,Sub-Saharan Africa,Africa,2022,7.090983391,0.586930454,56.54999924,0.792574704,0.740086973,4.501331329,0.032293987
North Macedonia,Central and Eastern Europe,Europe,2022,9.73342514,0.849509358,66.69999695,0.72308898,0.93721509,5.166881561,0.071886517
Norway,Western Europe,Europe,2022,11.1112957,0.92657131,71.55000305,0.939022839,0.314442098,7.294604301,0.184594572
Panama,Latin America and Caribbean,North America,2022,10.33345413,0.891045928,69,0.89932853,0.886835337,5.979382038,-0.120660797
Paraguay,Latin America and Caribbean,South America,2022,9.508264542,0.89949137,65.94999695,0.921780527,0.839272022,6.137611866,-0.011156131
Peru,Latin America and Caribbean,South America,2022,9.448805809,0.822743475,70.02500153,0.764267087,0.88399142,5.892068863,-0.177565202
Philippines,Southeast Asia,Asia,2022,8.99896431,0.778192103,62.04999924,0.905275464,0.72116226,5.96505785,-0.008972425
Poland,Central and Eastern Europe,Europe,2022,10.50880241,0.886446774,69.22499847,0.800018609,0.667024732,6.666265011,-0.206587344
Portugal,Western Europe,Europe,2022,10.48707771,0.862344146,71.375,0.903218091,0.892955482,5.952542782,-0.137060419
Romania,Central and Eastern Europe,Europe,2022,10.40412903,0.83033675,67.17500305,0.836366534,0.941487908,6.436973572,-0.171969727
Russia,Commonwealth of Independent States,Asia,2022,10.20286655,0.919851005,65.32499695,0.776063859,0.766522646,6.044072628,-0.07043764
Saudi Arabia,Middle East and North Africa,Middle East,2022,10.78055954,0.900104523,64.59999847,0.902473032,0.44513157,6.381610394,-0.027261315
Senegal,Sub-Saharan Africa,Africa,2022,8.180175781,0.609188676,60.29999924,0.758471966,0.854231179,4.90681982,0.051875819
Sierra Leone,Sub-Saharan Africa,Africa,2022,7.401130676,0.502167702,55.29999924,0.659596384,0.861837387,2.560429573,0.10053613
Slovenia,Central and Eastern Europe,Europe,2022,10.64416504,0.941756725,71.22499847,0.930381835,0.762208223,6.723397732,0.101480678
South Africa,Sub-Saharan Africa,Africa,2022,9.496415138,0.922238767,57.25,0.703564703,0.891578615,5.598653793,-0.145475447
